urun_adi,fiyat
"Dell Vostro 3530 N3404PVNB3530U i5-1334U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz22.711,66 TL+85 FİYATÜrüne Git (+85)50+ alarm",22711.66
"Dell Vostro 3500 N3001VN3500EMEA01_2201_029 i3-1115G4 8 GB 512 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz13.300,00 TLTEK FİYATÜrüne Git10+ alarm",13300.0
"Dell Vostro 3530 N1601PVNB3530U i7-1355U 8 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz24.225,00 TL+129 FİYATÜrüne Git (+129)50+ alarm",24225.0
"Dell Vostro N3409PVNB3530_U i5-1334U 8 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz20.497,25 TL+119 FİYATÜrüne Git (+119)50+ alarm",20497.25
"Dell Vostro 3530 N1605PVNB3530U i7-1355U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz25.619,00 TL+53 FİYATÜrüne Git (+53)50+ alarm",25619.0
"Dell Pro 15 Essential 13.nesil Core I5 1334U-16GB-512GB SSD-15.6INC-W11En Ucuz24.499,00 TL+4 FİYATÜrüne Git (+4)",24499.0
"Dell 15 Core 3-100U 16GB 512GB SSD 15.6"" Ubuntu DC15250-01En Ucuz17.619,01 TL+3 FİYATÜrüne Git (+3)",17619.01
"Dell Vostro 3530 i7-1355U 16GB 512GB SSD 15.6 FHD 120Hz Ubuntu N1601PVNB3530U-16En Ucuz26.867,16 TL+8 FİYATÜrüne Git (+8)10+ alarm",26867.16
"Dell Inspiron 3530 I35303401U i5-1334U 8 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz20.959,00 TL+12 FİYATÜrüne Git (+12)10+ alarm",20959.0
"Dell Latitude 3450 N010L345014EMEA-VP-UBU i7-1355U 16 GB 512 GB SSD Iris Xe Graphics 14"" Full HD NotebookEn Ucuz33.979,00 TL+16 FİYATÜrüne Git (+16)10+ alarm",33979.0
"Dell Vostro 3500 N3001VN3500EMEA01_2201_031 i3-1115G4 12 GB 512 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz13.700,00 TLTEK FİYATÜrüne Git10+ alarm",13700.0
"Dell Inspiron 3530 I35301018TU i7-1355U 16 GB 1 TB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz29.029,00 TL+8 FİYATÜrüne Git (+8)10+ alarm",29029.0
"Dell Xps 13-9360 Notebook İ7 8550U 16Gb Lpddr3 512Gb M2 Ssd 13.3""Qhd+ Dokunmatik BX Kalite 2.EL - Garantili - Orijinal ambalajındaEn Ucuz32.911,63 TLTEK FİYAT",32911.63
"Dell Inspiron 3530 I3530122024U08 i5-1334U 16 GB 512 GB SSD 15.6"" W11P Dizüstü BilgisayarEn Ucuz%425.469,47 TL+6 FİYATÜrüne Git (+6)10+ alarm",25469.47
"Dell Vostro 3530 i5-1334U 16GB 512GB SSD 15.6"" FHD Ubuntu Taşınabilir Bilgisayar N3409PVNB3530U 001En Ucuz%1121.999,00 TL+11 FİYATÜrüne Git (+11)10+ alarm",21999.0
"Dell Vostro 3520 N5315PVNB3520U i5-1235U 16 GB 512 GB SSD Iris Xe Graphics 15.6"" Full HD NotebookEn Ucuz24.699,05 TL+5 FİYATÜrüne Git (+5)250+ alarm",24699.05
