urun_adi,fiyat
"Casper Nirvana X650.1342-BV00X-G-F i5-13420H 16 GB 500 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz22.139,00 TL+7 FİYATÜrüne Git (+7)10+ alarm",22139.0
"Casper Nirvana X600.7430-BV00X-G-F Ryzen 5 7430U 16 GB 500 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz21.348,94 TL+21 FİYATÜrüne Git (+21)10+ alarm",21348.94
"Casper Nirvana C370.4020-4C00B N4020 4 GB 120 GB SSD UHD Graphics 600 15.6"" Full HD NotebookEn Ucuz10.601,07 TL+13 FİYATÜrüne Git (+13)50+ alarm",10601.07
"Microsoft Surface Laptop 6 - 15"" Touchscreen - Intel Core Ultra 5 135U - 16GB Ram - 512GB SSD - Windows 11 Pro - Sleek & Efficient - 512 GB - 16 GBEn Ucuz45.999,00 TLTEK FİYAT",45999.0
"Casper Nirvana X600.7430-DF00X-G-F Ryzen 5 7430U 32 GB 1 TB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz27.098,55 TL+14 FİYATÜrüne Git (+14)10+ alarm",27098.55
"Casper Nirvana S100.1362-BV00X-G-F i7-13620H 16 GB 500 GB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz26.489,80 TL+15 FİYATÜrüne Git (+15)10+ alarm",26489.8
"Casper Nirvana X600.1362-BV00X-G-F i7-13620H 16 GB 500 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz24.999,00 TL+11 FİYATÜrüne Git (+11)10+ alarm",24999.0
"Casper Nirvana S100.1342-BV00X-G-F i5-13420H 16 GB 500 GB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz22.999,00 TL+16 FİYATÜrüne Git (+16)50+ alarm",22999.0
"Casper Nirvana X600.7430-BF00X-G-F Ryzen 5 7430U 16 GB 1 TB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz23.756,05 TL+14 FİYATÜrüne Git (+14)10+ alarm",23756.05
"Casper Nirvana Z100 Z100.1335-8V00T-S-Q i5-1335U 8 GB 500 GB SSD Iris Xe Graphics 14"" WQXGA NotebookEn Ucuz26.899,00 TL+12 FİYATÜrüne Git (+12)10+ alarm",26899.0
"Casper Nirvana S100.1362-DV00X-G-F i7-13620H 32 GB 500 GB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz30.972,45 TL+14 FİYATÜrüne Git (+14)10+ alarm",30972.45
"Microsoft - Surface Pro Copilot+ PC (11. Sürüm) - Snapdragon X Elite - 13 OLED Dokunmatik - 16 GB Ram - 1 TB SSD - Win 11 Home - Siyah (Sadece Tablet - 2 Yıl Garanti IYH-00005En Ucuz100.665,60 TLTEK FİYAT",100665.6
"Casper Nirvana X650.1362-DF00X-G-F i7-13620H 32 GB 1 TB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz31.564,55 TL+5 FİYATÜrüne Git (+5)10+ alarm",31564.55
"Casper Nirvana S100.1362-DF00A-G-F i7-13620H 32 GB 1 TB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz36.260,00 TL+18 FİYATÜrüne Git (+18)10+ alarm",36260.0
"Casper Nirvana S100.1342-BF00X-G-F i5-13420H 16 GB 1 TB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz25.599,00 TL+14 FİYATÜrüne Git (+14)10+ alarm",25599.0
"Casper Nirvana X700.5500-8E00T-G-F Ryzen 5 5500U 8 GB 500 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz15.999,00 TL+1 FİYATÜrüne Git (+1)",15999.0
"Casper Nirvana X650.1315-BU00X-G-F i3-1315U 16 GB 250 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz18.981,05 TL+6 FİYATÜrüne Git (+6)10+ alarm",18981.05
"Casper Nirvana S100.1362-DX00X-G-F i7-13620H 32 GB 2 TB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz36.148,55 TL+14 FİYATÜrüne Git (+14)50+ alarm",36148.55
"Casper Nirvana X600.1342-DE00X-G-F i5-13420H 32 GB 500 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz%5725.199,00 TL+9 FİYATÜrüne Git (+9)10+ alarm",25199.0
"Casper Nirvana S100.1342-DF00X-G-F i5-13420H 32 GB 1 TB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz27.899,07 TL+14 FİYATÜrüne Git (+14)10+ alarm",27899.07
"Microsoft Surface Laptop 4, Ryzen 7se 16GB 512GB 15INC Touch W11P - 512 GB - 16 GBEn Ucuz37.990,00 TLTEK FİYAT",37990.0
"Casper Nirvana X600.7430-BU00X-G-F Ryzen 5 7430U 16 GB 250 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz21.177,55 TL+10 FİYATÜrüne Git (+10)10+ alarm",21177.55
"Casper Nirvana X650.1362-BV00X-G-F i7-13620H 16 GB 500 GB SSD UHD Graphics 15.6"" Full HD NotebookEn Ucuz27.062,07 TL+4 FİYATÜrüne Git (+4)10+ alarm",27062.07
"Casper Nirvana S100.1342-BU00X-G-F i5-13420H 16 GB 250 GB SSD UHD Graphics 16"" WUXGA NotebookEn Ucuz22.911,53 TL+14 FİYATÜrüne Git (+14)10+ alarm",22911.53
"Casper Nirvana X600.7430-8V00X-G-F Ryzen 5 7430U 8 GB 500 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz21.215,04 TL+13 FİYATÜrüne Git (+13)10+ alarm",21215.04
"Casper Nirvana X600.7430-DU00X-G-F Ryzen 5 7430U 32 GB 250 GB SSD Radeon Graphics 15.6"" Full HD NotebookEn Ucuz24.458,07 TL+9 FİYATÜrüne Git (+9)",24458.07
"Chuwi Gemibook Plus N150 16 GB 512 GB SSD Intel Graphics 15.6"" Full HD NotebookEn Ucuz16.399,07 TL+1 FİYATÜrüne Git (+1)50+ alarm",16399.07
"Chuwi Gemibook Plus N150 16 GB 512 GB SSD Intel Graphics 15.6"" Full HD NotebookEn Ucuz16.399,07 TL+1 FİYATÜrüne Git (+1)50+ alarm",16399.07
"Hometech Alfa 620C N4020 4 GB 128 GB SSD UHD Graphics 14.1"" NotebookEn Ucuz6.495,07 TL+18 FİYATÜrüne Git (+18)50+ alarm",6495.07
