urun_adi,fiyat
Lenovo ThinkPad E570 Intel i3-6006U 2.00GHZ 8GB 256gb SSD W11 Charger included *,3373.221
Lot (2) Lenovo ThinkPad Yoga 260 TOUCH i5-6300U@2.40 8GB/128GB M.2 No OS GE218!*,3415.06602
"Fujitsu Lifebook P727 2 in 1 i5-7200U 4GB RAM 128 GB M.2 12.5"" touch Win 11 A025",3415.49301
Dell Latitude E5540 i54300u 500gb Hdd 16gb Ram Windows 10 Pro Dvdrw 15.6 Laptop,3415.49301
"Dell Latitude 3190 2-in-1 Laptop 11.6"" Intel N5030 @1.10GHz 8GB 128GB SSD",3415.92
"Dell Chromebook 3100 11.6"" Intel core 2.60GHz 4GB RAM 32GB eMMC Bluetooth Webcam",3628.98801
"HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SD",3628.98801
"Acer Chromebook Spin 11 2 in 1  11.6"" Touchscreen Intel 2.40 GHz 4GB RAM 32GB HD",3628.98801
"Dell Latitude 3120 11.6"" Pentium N6000 @ 1.1GHz 8GB RAM 128GB SSD Win 11 Pro",3712.67805
"Dell Latitude 3189 11.6"" 2-in-1 Touch Laptop Celeron 4GB 64GB SSD Windows 11 !!",3757.512
"Windows 11 PRO Laptop Notebook PC Computer, 8GB Ram, Webcam, Wifi, and HDMI",3791.6712
Dell Latitude 5290 i5 CPU 16GB RAM 236Gb SSD new genuine dell battery win11 pro,3800.211
"Itel Able 1 Intel Celeron N3350 4GB 256GB SSD Gray 14"" Windows 10 Laptop NEW",3842.48301
Dell Latitude 3190 2-in-1  Pentium N5030 1.10GHz 8GB RAM 256GB SSD Win 11 Pro,3842.91
Samsung R580 İ5 Laptop 15.6 inçEn Ucuz,3959.0
"ASUS NB R541SA-XX388T 15.6""LED EKRAN N3060 2G 120G SSD WIN10 SİYAH NOTEBOOK YENİLENMİŞ ÜRÜNEn Ucuz3.990,00 TLTEK FİYAT",3990.0
Sony Vaio İ5 3. Nesil LaptopEn Ucuz,3999.0
"Asus Chromebook Flip 14"" Touchscreen i3 1.80GHz/8GB/128GB SSD (Silver) CX5400FM",4047.43821
"Lenovo 80NW - 15.5"" 1920x1080 - I7-6700HQ - 16GB - 256GB SSD - Win 10 Pro READ",4056.405
Dell Latitude 3190 2-in-1 Laptop Pentium N5030 8GB RAM 256GB SSD Win 11 Pro,4099.103999999999
"Windows 7 PRO Laptop Notebook PC Computer Dual core, 4GB Ram, 250GB HD DVD/CD",4227.201
"Windows 10 PRO Laptop Notebook PC Computer Dual core, 4GB Ram, 250GB HDD DVDRW",4227.201
"Acer Chromebook 315 - 15.6"" Intel Celeron N4500 4GB RAM 64GB eMMC Refurbished",4269.47301
"15.6"" Lenovo T500-T530 Laptop Windows 7 Pro 64 Bit Intel i5 2ghz 4gb 250gb DVD",4269.47301
"15.6"" Dell Laptop E6520/30 Vintage Windows XP Pro 32 Bit i5 2ghz 4gb 250gb DVD",4269.47301
Lenovo 20SX001VUS -FHD - I5-10210U - 16GB - 256GB SSD - Win 11 Pro READ,4269.9
Dell Inspiron 15 3511 I3-1115G4 256GB SSD 8GB RAM (No Charger Included) #AW,4269.9
"Lenovo ThinkPad X390 13.3"" Laptop i5-8265U 1.6GHZ 8GB RAM 128GB SSD Win 11 Pro",4455.640649999999
"Acer 15.6""Chromebook 315 Laptop Intel Celeron N4500 4GB RAM 64GB SSD Refurbished",4554.275339999999
"Dell Latitude 3120 2-in-1 Laptop 11.6"" Pentium N6000 @1.1GHz 8GB RAM 256GB SSD",4611.492
"Vestel i5 3.nesil laptop - GarantiliEn Ucuz4.800,00 TLTEK FİYAT",4800.0
Dell Latitude 3190 2-in-1 Touch Laptop Intel Pentium 8GB RAM 128GB SSD Win 11,4842.49359
"Hp 15S-Fq5006nt 7K307ea İ5-1235U 8 Gb 512 Gb Ssd Iris Xe Graphics 15.6"" Full Hd Notebook HurdaEn Ucuz4.849,03 TLTEK FİYAT",4849.03
"14"" DELL Latitude Laptop: Intel i5! 4GB RAM! 128GB SSD! Zorin Core Edition!",4901.41821
"Lenovo IdeaPad Slim 3 Chromebook 14"" 64GB eMMC 4GB Abyss Blue 82XJ002DUS",4909.958009999999
"14"" Dell Latitude Laptop i5 Dual Core  Up To 16GB RAM 1TB HDD Zorin Core Edition",4921.059749999999
Lenovo ThinkPad T490 | Intel Core i5-8365U | 8 GB DDR4 | 256 GB NVme | Win 11,4994.50203
"Lenovo LaptopEn Ucuz5.000,00 TLTEK FİYAT",5000.0
"LENOVO 82LV0075US IdeaPad 1 14IJL7 14"" HD N4500 1.1GHz Intel UHD Graphics 4GB",5072.6412
"HP 14-ep2012wm 14"" HD N4020 2.6GHz Intel Graphics 4GB RAM 128GB SSD Win 11 Home",5072.6412
"Apple Macbook Air 13"" Laptop - i5 8GB RAM 256GB SSD - MacOS Big Sur - Warranty",5081.181
"Dell Latitude 5290 2-in-1 12.3"" WUXGA Touch i3-8130U 4GB 256GB SSD IR Cam W11Pro",5081.181
"Apple MacBook Air - 2017 Model A1466,  13"",  8GB RAM,  512 GB SSD, New Battery!",5081.181
"HP EliteBook 8440p 14"" Laptop Intel i5 4GB RAM 250GB HDD Windows 7 Professional",5121.74505
Dell Latitude 5420 i5-1145G7 512GB SSD 16GB RAM (No Charger Included),5123.88
"ThinkPad X230, i5-2.6GHz, 8GB RAM, Charger, Dock($20 discount without), Win10Pro",5123.88
"Dell Latitude E6540 15.6"" Intel i7-4610M 8GB RAM 256GB SSD Win 10 laptop",5337.375
"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD CX5400FM - w/Warranty",5349.75771
HP X360 11 G3 11.6” Touchscreen Laptop Intel 4GB RAM 64GB SSD Windows 11 Pro PC,5350.1847
Dell Latitude 3445 Chromebook 8GB RAM 256GB SSD AMD Ryzen 3,5443.69551
"Dell Latitude 5410 Touch 14"" (i5-10210u - 8GB RAM - 256GB SSD - Win11Home)",5469.741899999999
"Lenovo - IdeaPad Slim 3 Chromebook 14"" Full HD Laptop - MediaTek Kompanio 520...",5508.170999999999
"HP 14-dq6013dx 14"" Intel N150 0.8GHz 4GB DDR4 128GB UFS W11H Laptop Willow Green",5508.170999999999
"Dell Inspiron 3505 Laptop w/ 15"" Display AMD RYZEN 3 3250U | 8GB RAM | 256GB SSD",5508.170999999999
Dell Latitude Laptop 11.6” HD 8GB RAM 128GB SSD Intel Pentium Silver Win 11 WiFi,5550.44301
"Dell Latitude 3120 11.6"" Touch 2in1 Laptop Intel 8GB RAM 128GB SSD Win 11 Pro",5550.44301
Dell latitude 5420 i5-1145g7@4.4Ghz 16Gb ram 128Gb ssd Win 11 READ Description !,5550.44301
LENOVO THINKPAD P43S | I7 8TH GEN. | 24 GB RAM | 20RJ-S06 | GRADE C | NO AC,5635.84101
Dell Latitude Touchscreen 2-in-1 Laptop Pentium 8GB RAM 128GB SSD Windows 11 Pro,5722.94697
"15.6"" HP Laptop: AMD Processor! 8GB RAM ~ 256GB SSD! Zorin Core Edition!",5762.230049999999
"HP Chromebook 14"" Intel Pentium N5030 4GB RAM 128GB eMMC Chrome OS 14A-NA0062TG",5763.93801
"Getac V110 G3 11.6"" Touch Laptop i5-6200U 2.3GHz 8GB 128GB SSD W10",5764.365
"14"" DELL Latitude Laptop: Intel i5! 8GB RAM! 256GB SSD! Zorin Core Edition!",5892.0350100000005
"HP 14-ep2011wm 14"" HD N150 0.8GHz Intel UHD Graphics 4GB RAM 128GB SSD Win 11",5935.161
"TOSHİBA SATELLİTE PRO/İ5-5200U/4 GB/500 GB/15.6 HATASIZİkinci elEn Ucuz5.950,00 TL",5950.0
Coolby BTC511 Gray 8GB RAM 128GB Storage Built In Webcam Laptop New Sealed,5977.43301
Toshiba Ultra Light Windows 11 Laptop Computer - Wifi Bluetooth Webcam HDMI SSD,6046.1784
