itemId,title,price,currency,condition,conditionId,category,categoryId,imageUrl,sellerUsername,sellerFeedback,sellerPositivePercent,itemLocation,shippingPrice
v1|335333243508|544912345138,"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",18744.861,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/baYAAeSwvNNpHMMD/s-l225.jpg,aaa_pcs,6720,,US,0.0
v1|254754472823|0,Dell Latitude 3190 2-in-1 Touch Laptop Intel Pentium 8GB RAM 128GB SSD Win 11,4842.49359,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/BHAAAeSwnu5pAvdL/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|256776833046|0,Dell Latitude Light Gaming Laptop 1920x1080 4-Core i7 16GB RAM 512GB SSD Win 11,15300.332669999998,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/7KUAAeSwVktpO37P/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|376730210904|0,"HP EliteBook 845 G8 14"" FHD AMD Ryzen 5 PRO 5650U 16GB 256GB SSD W11P Laptop SL",8966.789999999999,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/CFUAAeSwMQhpPvOl/s-l225.jpg,prycedin,75444,,US,0.0
v1|276709583737|0,"Acer Swift Go 14"" TS Laptop Intel Core Ultra 7 155H 16GB RAM 1TB SSD Refurbished",16225.193009999999,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/m3YAAeSwJJZpOyMs/s-l225.jpg,acer,92044,,US,0.0
v1|116423296043|0,14 Lenovo ThinkPad Laptop: Intel i5! 16GB RAM! 512GB NVME SSD! Secondary Battery,11528.73,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/0okAAeSwRohpObzr/s-l225.jpg,rinuvo,10364,,US,0.0
v1|388696431750|0,"HP EliteBook 845 G8 Laptop AMD Ryzen 5 PRO 5650U 16GB RAM 256 GB SSD 14"" W11H",11955.29301,USD,Excellent - Refurbished,2010,,,https://i.ebayimg.com/images/g/NWAAAeSwO7xpJ5IT/s-l225.jpg,newegg,1054766,,US,0.0
v1|376719960744|0,"2020 Apple M1 MacBook Air 13.3"" 8GB/128GB SSD - (Gray/Skinned) A2337 w/Warranty",12809.273009999999,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/XH4AAeSwyt1pIM-0/s-l225.jpg,tekdeals,58821,,US,0.0
v1|146493392451|445261046811,2025 Lenovo IdeaPad Laptop Notebook 15.6 Intel Processor Upto 20GB RAM 1TB SSD,10205.061,USD,New,1000,,,https://i.ebayimg.com/images/g/OrUAAOSweZ1n7bDV/s-l225.jpg,hellogoodlife1,17816,,US,0.0
v1|306650664029|0,HP Elitebook 840 G7  i7-10510U 1.8GHz 16 GB RAM 512 GB SSD Laptop,8539.37301,USD,Used,3000,,,https://i.ebayimg.com/images/g/g7MAAeSwPYppOL9j/s-l225.jpg,luckywolf29,50544,,US,0.0
v1|254654754368|0,"Dell Latitude Touchscreen Laptop 11.6"" Pentium 8GB RAM 128GB SSD Win 11 Pro",6617.91801,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/ZhsAAeSwskhpOpeb/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|334703417715|544907135083,"Dell 15.6"" Light Gaming Laptop Intel Core i7 4.20 GHz 64GB RAM 4TB SSD Win11 Pro",13023.195,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/EKMAAOSw3rlnftZD/s-l225.jpg,aaa_pcs,6720,,US,0.0
v1|286895956312|0,"Lenovo ThinkPad T14 14"" Intel Core i7 4.7GHz 32GB 512GB SSD Win11 Touch Screen",16780.28001,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/IsMAAeSwfNxo7Uxn/s-l225.jpg,highland-performance-systems,11171,,US,0.0
v1|256237057448|0,Lenovo ThinkPad E15 Laptop PC 15.6” FHD Core i5 16GB RAM 512GB SSD Windows 11,11535.98883,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/VgQAAeSw~GdpOmoz/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
